run_id,date,symbol,timeframe,since,bars,method,is_primary,n_episodes,avg_bars,avg_width_pct,false_break_rate,coverage_pct,score,dur_median_bars,width_pct_median,escape_xatr_median,corr_contraction_vs_escape,params,out_dir,takeaway
049,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,88,37.4545,0.0494,0.1477,0.2774,71.4718,28.0,0.0478,2.186,-0.2399,min_bars=16;box_width_pct=0.05;escape_k=1.5;atr_period=14,(metrics-only),
050,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,26,55.7308,0.0523,0.1923,0.122,19.9566,44.0,0.0507,2.024,-0.4265,min_bars=24;box_width_pct=0.05;escape_k=1.5;atr_period=14,(metrics-only),
051,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=12;box_width_pct=0.01;escape_k=1.5;atr_period=14,(metrics-only),
052,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=16;box_width_pct=0.01;escape_k=1.5;atr_period=14,(metrics-only),
053,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=24;box_width_pct=0.01;escape_k=1.5;atr_period=14,(metrics-only),
054,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=12;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
055,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=16;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
056,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=24;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
057,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
058,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=16;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
059,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=24;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
060,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=12;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
061,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=16;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
062,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=24;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
063,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,1,12.0,0.047,1.0,0.0061,0.0,12.0,0.047,1.253,,min_bars=12;box_width_pct=0.05;escape_k=1.5;atr_period=14,(metrics-only),
064,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=16;box_width_pct=0.05;escape_k=1.5;atr_period=14,(metrics-only),
065,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=24;box_width_pct=0.05;escape_k=1.5;atr_period=14,(metrics-only),
066,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,10,12.5,0.056,0.0,0.0631,9.4693,10.0,0.0561,2.097,-0.1096,min_bars=8;box_width_pct=0.06;escape_k=1.5;atr_period=14,(metrics-only),
067,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,2,17.0,0.0496,0.5,0.0172,0.9528,17.0,0.0496,2.745,,min_bars=12;box_width_pct=0.06;escape_k=1.5;atr_period=14,(metrics-only),
068,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=20;box_width_pct=0.06;escape_k=1.5;atr_period=14,(metrics-only),
069,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,22,14.4545,0.075,0.0,0.1605,20.465,11.5,0.0745,1.976,-0.1094,min_bars=8;box_width_pct=0.08;escape_k=1.5;atr_period=14,(metrics-only),
070,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,6,17.0,0.0649,0.0,0.0515,5.6342,17.5,0.0626,2.19,-0.1878,min_bars=12;box_width_pct=0.08;escape_k=1.5;atr_period=14,(metrics-only),
071,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=20;box_width_pct=0.08;escape_k=1.5;atr_period=14,(metrics-only),
072,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,33,19.1212,0.1002,0.1818,0.3185,24.5408,15.0,0.0947,1.991,-0.096,min_bars=8;box_width_pct=0.1;escape_k=1.5;atr_period=14,(metrics-only),
073,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,16,21.3125,0.0963,0.0625,0.1721,13.6819,21.0,0.0967,1.88,0.2944,min_bars=12;box_width_pct=0.1;escape_k=1.5;atr_period=14,(metrics-only),
074,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,1,28.0,0.0907,0.0,0.0141,0.9169,28.0,0.0907,1.027,,min_bars=20;box_width_pct=0.1;escape_k=1.5;atr_period=14,(metrics-only),
075,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,46,28.7609,0.1596,0.2174,0.6678,31.0458,19.0,0.1385,1.944,-0.0462,min_bars=8;box_width_pct=0.14;escape_k=1.5;atr_period=14,(metrics-only),
076,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,27,32.1481,0.1526,0.2593,0.4382,17.3514,20.0,0.149,1.987,-0.1489,min_bars=12;box_width_pct=0.14;escape_k=1.5;atr_period=14,(metrics-only),
077,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,13,33.9231,0.1408,0.1538,0.2226,9.6421,35.0,0.1323,2.089,0.2542,min_bars=20;box_width_pct=0.14;escape_k=1.5;atr_period=14,(metrics-only),
078,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,27,61.2593,0.2611,0.0741,0.8349,19.8237,48.0,0.25,2.781,-0.2487,min_bars=8;box_width_pct=0.2;escape_k=1.5;atr_period=14,(metrics-only),
079,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,26,55.5385,0.2418,0.1154,0.7289,18.522,39.0,0.2133,2.146,-0.0933,min_bars=12;box_width_pct=0.2;escape_k=1.5;atr_period=14,(metrics-only),
080,2026-06-03,BTC/USDT,1d,2021-01-01,1981,range_containment,1,17,55.8235,0.2055,0.0,0.4791,14.1019,41.0,0.1929,2.2,-0.2435,min_bars=20;box_width_pct=0.2;escape_k=1.5;atr_period=14,(metrics-only),
081,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,505,30.1465,0.0059,0.2594,0.1791,371.8036,21.0,0.0057,1.913,0.0012,min_bars=12;box_width_pct=0.006;escape_k=1.5;atr_period=14,(metrics-only),
082,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,260,37.1038,0.0059,0.2654,0.1135,189.8773,28.0,0.0057,1.867,0.0109,min_bars=16;box_width_pct=0.006;escape_k=1.5;atr_period=14,(metrics-only),
083,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,94,49.0957,0.0059,0.3298,0.0543,62.6325,36.0,0.0056,1.765,-0.2215,min_bars=24;box_width_pct=0.006;escape_k=1.5;atr_period=14,(metrics-only),
084,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,979,42.6221,0.0106,0.2288,0.491,747.0546,27.0,0.0098,2.062,-0.0076,min_bars=12;box_width_pct=0.01;escape_k=1.5;atr_period=14,(metrics-only),
085,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,662,47.9305,0.0103,0.2598,0.3734,484.9896,32.0,0.0097,2.044,-0.1095,min_bars=16;box_width_pct=0.01;escape_k=1.5;atr_period=14,(metrics-only),
086,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,305,62.3508,0.0101,0.2393,0.2238,229.6696,42.0,0.0096,2.112,-0.0297,min_bars=24;box_width_pct=0.01;escape_k=1.5;atr_period=14,(metrics-only),
087,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,985,60.9137,0.016,0.201,0.706,774.6129,38.0,0.0147,2.056,-0.0738,min_bars=12;box_width_pct=0.014;escape_k=1.5;atr_period=14,(metrics-only),
088,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,807,63.7906,0.0152,0.2032,0.6058,633.3584,39.0,0.0138,2.079,-0.2199,min_bars=16;box_width_pct=0.014;escape_k=1.5;atr_period=14,(metrics-only),
089,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,490,75.1469,0.0146,0.2224,0.4333,375.5159,50.5,0.0137,2.065,-0.1874,min_bars=24;box_width_pct=0.014;escape_k=1.5;atr_period=14,(metrics-only),
090,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,656,110.9299,0.0258,0.1738,0.8563,528.3737,67.5,0.0233,2.074,-0.2162,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
091,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,629,107.9698,0.0244,0.2067,0.7992,487.0941,67.0,0.0218,2.032,-0.1996,min_bars=16;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
092,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,548,105.75,0.0224,0.2153,0.6819,420.56,68.0,0.0202,2.028,-0.2789,min_bars=24;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
093,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,316,256.6551,0.0468,0.2152,0.9544,236.9162,100.0,0.0407,1.958,-0.1894,min_bars=12;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
094,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,346,227.6676,0.0435,0.2486,0.927,249.1715,102.5,0.0379,1.823,-0.2195,min_bars=16;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
095,2026-06-03,BTC/USDT,15m,2024-01-01,84980,range_containment,1,359,205.3092,0.0396,0.2591,0.8673,255.8759,108.0,0.0351,1.748,-0.1809,min_bars=24;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
096,2026-06-03,BTC/USDT,1h,2021-01-01,47509,range_containment,1,408,36.223,0.02,0.1152,0.3111,353.9226,26.0,0.0191,2.339,-0.1842,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
097,2026-06-03,ETH/USDT,1h,2021-01-01,47509,range_containment,1,267,28.4944,0.0189,0.1423,0.1601,224.762,21.0,0.0184,2.436,-0.1605,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
098,2026-06-03,SOL/USDT,1h,2021-01-01,47509,range_containment,1,87,23.6437,0.0189,0.092,0.0433,77.5354,21.0,0.0189,2.369,-0.0542,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
099,2026-06-03,BNB/USDT,1h,2021-01-01,47509,range_containment,1,319,35.4483,0.0202,0.1755,0.238,257.7814,24.0,0.0191,2.208,-0.1309,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
100,2026-06-03,XRP/USDT,1h,2021-01-01,25637,range_containment,1,166,29.8494,0.0196,0.1386,0.1933,140.2575,27.0,0.0188,2.435,-0.1824,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
